Name,Lat,Lon
"1000 block of Massachusetts St, Kansas, Lawrence",38.9654625,-95.235711
"3950 Las Vegas Blvd S, Nevada, Las Vegas",36.0908614,-115.1750272
"800 block of Kerr Avenue, Tennessee, Memphis",35.1071634,-90.0358906
"2001 N Rocheblave St, Louisiana, New Orleans",29.9814245,-90.0647959
"2531 Chelsea Ave, Tennessee, Memphis",35.174207,-89.97272199999999
"3200 block of Lyndale Ave, Maryland, Baltimore",39.31661,-76.578385
"100 block of Pastorius St, Pennsylvania, Philadelphia",40.043327,-75.177497
"500 block of E. Patapsco Avenue, Maryland, Baltimore",39.23695,-76.6036057
"6000 block of Hoover Dr, New Jersey, Mays Landing",39.4511596,-74.7660981
"3890 Pin Hook Rd, Tennessee, Antioch",36.04672000000001,-86.58304299999999
"1226 E Fayette St, New York, Syracuse",43.0481563,-76.1303473
"Seminary St and Jackson St, Illinois, Danville",40.1303331,-87.6273128
"818 Real Rd, California, Bakersfield",35.3657935,-119.0432433
"4300 block of 23rd Ct, Indiana, Gary",41.57554,-87.3903455
"5000 block of Stanton Street, Michigan, Detroit",42.3497679,-83.0905192
"300 Mistletoe St, Virginia, Petersburg",37.2168154,-77.4048035
"920 Lady Street, South Carolina, Columbia",34.0012887,-81.0376376
"14626 S Jackson Rd, Washington, Rockford",47.5195602,-117.196933
"400 block of S Duke St, Pennsylvania, York",39.957422,-76.72305899999999
"3100 block of N 2nd St, Pennsylvania, Philadelphia",39.9973235,-75.1332171
"1000 block of Morehead St, Tennessee, Memphis",35.1680474,-90.02512109999999
"Elysian Fields Ave and N Claiborne Ave, Louisiana, New Orleans",29.9731708,-90.0570006
"1712 West Spring Creek Parkway, Texas, Plano",33.0565137,-96.72760249999999
"Kings Bend Road, Alabama, Selma",32.3944732,-87.02871499999999
"2700 block of Madison, Illinois, Chicago",41.8813699,-87.694119
"1000 block of Bellwood Ave, Illinois, Bellwood",41.8741869,-87.8784268
"10100 block of S Firmona Ave, California, Inglewood",33.944386,-118.3569849
"8008 Watterson Trail, Kentucky, Louisville",38.180619,-85.621938
"8300 block of S Hermitage, Illinois, Chicago",41.74275799999999,-87.667169
"701 N Main St, New Mexico, Clovis",34.4052057,-103.2045507
"7760 24th St, California, Sacramento",38.47505,-121.481512
"1127 Chestnut St, Indiana, Evansville",37.97321900000001,-87.560158
"1600 NE 8th Ave, Florida, Gainesville",29.6592077,-82.30466659999999
"10400 block of Balmoral Dr, Missouri, Saint Louis",38.7538508,-90.2009447
"300 block of N Central Ave, Illinois, Chicago",41.885933,-87.76546499999999
"Fabyan Place, New Jersey, Newark",40.7154265,-74.22210799999999
"700 block of S 19th St, New Jersey, Newark",40.73240800000001,-74.212166
"Cottage Avenue and Park Heights Avenue, Maryland, Baltimore",39.3273326,-76.6575222
"980 Fishing Creek Rd, North Carolina, Whitakers",36.1693349,-77.82884399999999
"262 Decatur St, Tennessee, Memphis",35.1471558,-90.0259282
"11901 S Loomis St, Illinois, Chicago",41.6768219,-87.6559759
"100th St and Ave M, New York, Brooklyn",40.6386145,-73.89102419999999
"11143 Superior Ave, Ohio, Cleveland",41.5226451,-81.6075922
"Merritt Ave and 15th St, New York, Wyandanch",40.754364,-73.36126
"Morrison St and Klump Ave, California, North Hollywood",34.160824,-118.3757613
"4000 Block of Martin Luther King Jr Blvd, California, Sacramento",38.5383649,-121.4647521
"8700 block of Quay Rd, Virginia, Suffolk",36.6524118,-76.83942739999999
"39th St and Melon St, Pennsylvania, Philadelphia",39.9648942,-75.1999605
"12310 Bellefontaine Rd, Missouri, Saint Louis",38.7965779,-90.21235399999999
"1 block of East 37th Street, Illinois, Chicago",41.8273618,-87.626407
"Wickham Ave, New York, Bronx",40.8942105,-73.84892289999999
"Unionport Rd, New York, Bronx",40.8412711,-73.8633492
"1000 block of 106th Avenue, California, Oakland",37.7357528,-122.1719782
"900 block of Brook Road, New Jersey, Lakewood",40.1020991,-74.1892167
"300 block of Ellis St, South Carolina, Allendale",33.0021947,-81.29600219999999
"1939 W Tennessee St, Florida, Tallahassee",30.44843089999999,-84.3161903
"200 block of North Helen Street, Montana, Lodge Grass",45.311567,-107.3647354
"3426 18th St NE, District of Columbia, Washington",38.93274359999999,-76.9799638
"900 block of N Broadway, Maryland, Baltimore",39.3006045,-76.5945374
"8000 Block of Lateral C Rd, Washington, Toppenish",46.36072,-120.5230681
"Mariposa St and A St, California, Fresno",36.7278197,-119.8011313
"800 block of N Monticello Ave, Illinois, Chicago",41.8954421,-87.71752339999999
"Jasper St and Main St, Illinois, Decatur",39.84177,-88.9404161
"1810 George Dieter Dr, Texas, El Paso",31.7654669,-106.3011284
"1500 block of Azalea Garden Rd, Virginia, Norfolk",36.8668979,-76.2347712
"200 block of Carl St, New York, Buffalo",42.920097,-78.828214
"115 W Fisher St, North Carolina, Salisbury",35.6668205,-80.47169009999999
"400 block of North Washington Street, Delaware, Wilmington",39.742038,-75.55526789999999
"2000 block of E 71st St, Illinois, Chicago",41.7664443,-87.57586889999999
"2111 E. Green Drive, North Carolina, High Point",35.9532668,-79.98082029999999
"1500 block of East 82nd St, Illinois, Chicago",41.74597740000001,-87.58817429999999
"10360 Ave H, Louisiana, Baton Rouge",30.538489,-91.1969472
